Subject,Term,Definition
Digital Technologies,Visualise data,Present data in a summarised form to help with communication and analysis (e.g. sorting and presenting data as a chart showing spending trends to help make financial decisions).
Digital Technologies,VR,*See:* virtual reality
Digital Technologies,WAV,*See:* Waveform Audio File Format
Digital Technologies,Waveform Audio File Format (WAV),An audio file format for storing audio data. WAV files are usually uncompressed.
Digital Technologies,Wired network,A digital system that uses cables (or wires) to establish connections to the internet and allows the transmission of data to other digital systems.
Digital Technologies,Wireframe,A design tool that uses placeholders to represent the visual elements of a design. It is a visual layout that represents all the elements that will appear on a webpage.
Digital Technologies,Wireless network,"A digital system that can transmit data to, or receive data from, other systems without using cables (e.g. transmitted via microwave signals, radio frequencies, and Bluetooth and infrared devices). For example, home wi-fi uses radio frequencies to communicate between digital devices such as a laptop, printer and router."
Digital Technologies,Workload,"The computational requirements of a digital system (e.g. the effort required by a gaming server to meet storage, communication and processing demands)."
Digital Technologies,XML,*See:* Extensible Markup Language
Digital Technologies,XOR,A form of symmetric encryption in which the same cryptographic key is used to encrypt and decrypt a message.
