Subject,Band,SkillArea,ComponentText,Keywords
Mathematics,8,Measurement,"Students use appropriate metric units when solving measurement problems involving the perimeter and area of composite shapes, and volume of right prisms.","students,appropriate,metric,units,when,solving,measurement,problems,involving,perimeter,area,composite,shapes,volume,right"
Mathematics,8,Measurement,They use Pythagoras’ theorem to solve measurement problems involving unknown lengths of right-angled triangles.,"they,pythagoras,theorem,solve,measurement,problems,involving,unknown,lengths,right,angled,triangles"
Mathematics,8,Algebra and Patterns,Students use formulas to solve problems involving the area and circumference of circles.,"students,formulas,solve,problems,involving,area,circumference,circles"
Mathematics,8,Number and Computation,They solve problems of duration involving 12- and 24-hour cycles across multiple time zones.,"they,solve,problems,duration,involving,hour,cycles,across,multiple,time,zones"
Mathematics,8,Space and Geometry,Students use 3 dimensions to locate and describe position.,"students,dimensions,locate,describe,position"
Mathematics,8,Space and Geometry,"They identify conditions for congruency and similarity in triangles and other common shapes, and design and test algorithms to test for congruency and similarity.","they,identify,conditions,congruency,similarity,triangles,other,common,shapes,design,test,algorithms"
Mathematics,8,Problem Solving,Students apply the properties of quadrilaterals to solve problems.,"students,apply,properties,quadrilaterals,solve,problems"
Mathematics,8,Statistics and Probability,Students conduct statistical investigations and explain the implications of obtaining data through sampling.,"students,conduct,statistical,investigations,explain,implications,obtaining,data,through,sampling"
Mathematics,8,Statistics and Probability,Students analyse and describe the distribution of data.,"students,analyse,describe,distribution,data"
Mathematics,8,Measurement,"They compare the variation in distributions of random samples of the same and different size from a given population with respect to shape, measures of central tendency and range.","they,compare,variation,distributions,random,samples,same,different,size,given,population,respect,shape,measures,central"
Mathematics,8,Statistics and Probability,"Students represent the possible combinations of 2 events with tables and diagrams, and determine related probabilities to solve practical problems.","students,represent,possible,combinations,events,tables,diagrams,determine,related,probabilities,solve,practical,problems"
Mathematics,8,Number and Computation,They conduct experiments or simulations using digital tools to determine related probabilities of compound events.,"they,conduct,experiments,simulations,using,digital,tools,determine,related,probabilities,compound,events"
Mathematics,9,Number and Computation,"By the end of Level 9, students recognise and use rational and irrational numbers to solve problems.","level,students,recognise,rational,irrational,numbers,solve,problems"
Mathematics,9,Number and Computation,Students extend and apply the exponent laws with positive integers and the zero exponent to variables.,"students,extend,apply,exponent,laws,positive,integers,zero,variables"
Mathematics,9,Algebra and Patterns,They expand binomial products and factorise monic quadratic expressions.,"they,expand,binomial,products,factorise,monic,quadratic,expressions"
Mathematics,9,Algebra and Patterns,"They find the distance between 2 points on the Cartesian plane, sketch linear graphs and find the gradient and midpoint of a line segment.","they,find,distance,between,points,cartesian,plane,sketch,linear,graphs,gradient,midpoint,line,segment"
Mathematics,9,Algebra and Patterns,"Students use mathematical modelling to solve problems involving change, including simple interest in financial contexts and change in other applied contexts, choosing to use linear and quadratic functions.","students,mathematical,modelling,solve,problems,involving,change,including,simple,interest,financial,contexts,other,applied,choosing"
Mathematics,9,Number and Computation,They graph quadratic functions and use null factor law to solve monic quadratic equations with integer roots algebraically.,"they,graph,quadratic,functions,null,factor,solve,monic,equations,integer,roots,algebraically"
Mathematics,9,Number and Computation,"Students investigate and describe the effects of variation of parameters on functions and relations, using digital tools where appropriate, and make connections between their graphical and algebraic representations.","students,investigate,describe,effects,variation,parameters,functions,relations,using,digital,tools,where,appropriate,make,connections"
Mathematics,9,Algebra and Patterns,"Students apply formulas to solve problems involving the surface area and volume of right prisms, cylinders and composite shapes.","students,apply,formulas,solve,problems,involving,surface,area,volume,right,prisms,cylinders,composite,shapes"
Mathematics,9,Number and Computation,"They solve problems involving ratio, similarity and scale in two-dimensional situations.","they,solve,problems,involving,ratio,similarity,scale,dimensional,situations"
Mathematics,9,Number and Computation,They determine percentage errors in measurements.,"they,determine,percentage,errors,measurements"
Mathematics,9,Number and Computation,Students apply Pythagoras’ theorem and use trigonometric ratios to solve problems involving right-angled triangles.,"students,apply,pythagoras,theorem,trigonometric,ratios,solve,problems,involving,right,angled,triangles"
Mathematics,9,Number and Computation,"They use mathematical modelling to solve practical problems involving direct and indirect proportion, ratio and scale, evaluating the model and communicating their methods and findings.","they,mathematical,modelling,solve,practical,problems,involving,direct,indirect,proportion,ratio,scale,evaluating,model,communicating"
Mathematics,9,Number and Computation,Students express small and large numbers in scientific notation.,"students,express,small,large,numbers,scientific,notation"
Mathematics,9,Space and Geometry,"Students apply the enlargement transformation to images of shapes and objects, and interpret results.","students,apply,enlargement,transformation,images,shapes,objects,interpret,results"
Mathematics,9,Space and Geometry,"They design, use and test algorithms based on geometric constructions or theorems.","they,design,test,algorithms,based,geometric,constructions,theorems"
Mathematics,9,Space and Geometry,"Students compare and analyse the distributions of multiple numerical data sets, choose representations, describe features of these data sets using summary statistics and the shape of distributions, and consider the effect of outliers.","students,compare,analyse,distributions,multiple,numerical,data,sets,choose,representations,describe,features,using,summary,statistics"
Mathematics,9,Mathematical Reasoning,They explain how sampling techniques and representation can be used to support or question conclusions or to promote a point of view.,"they,explain,sampling,techniques,representation,used,support,question,conclusions,promote,point,view"
Mathematics,9,Statistics and Probability,Students determine sets of outcomes for two-step chance experiments and represent these in various ways.,"students,determine,sets,outcomes,step,chance,experiments,represent,various,ways"
Mathematics,9,Statistics and Probability,They assign probabilities to the outcomes of two-step chance experiments.,"they,assign,probabilities,outcomes,step,chance,experiments"
Mathematics,9,Number and Computation,They design and conduct experiments or simulations for combined events using digital tools.,"they,design,conduct,experiments,simulations,combined,events,using,digital,tools"
Mathematics,10,Number and Computation,"By the end of Level 10, students recognise the effect of approximations of real numbers in repeated calculations.","level,students,recognise,effect,approximations,real,numbers,repeated,calculations"
Mathematics,10,Algebra and Patterns,"Students use mathematical modelling to solve problems involving growth and decay in financial and other applied situations, applying linear, quadratic and exponential functions as appropriate, and solve related equations, numerically and graphically.","students,mathematical,modelling,solve,problems,involving,growth,decay,financial,other,applied,situations,applying,linear,quadratic"
Mathematics,10,Number and Computation,They make and test conjectures involving functions and relations using digital tools.,"they,make,test,conjectures,involving,functions,relations,using,digital,tools"
Mathematics,10,Number and Computation,"Students substitute into formulas, find unknown values, manipulate linear and quadratic algebraic expressions, expand binomial expressions and factorise monic and simple non-monic quadratic expressions, with and without the use of digital tools.","students,substitute,into,formulas,find,unknown,values,manipulate,linear,quadratic,algebraic,expressions,expand,binomial,factorise"
Mathematics,10,Number and Computation,"They solve problems involving linear equations and inequalities, quadratic equations and pairs of simultaneous linear equations and related graphs, algebraically and graphically, with and without the use of digital tools, and justify solutions.","they,solve,problems,involving,linear,equations,inequalities,quadratic,pairs,simultaneous,related,graphs,algebraically,graphically,without"
Mathematics,10,Algebra and Patterns,"They represent linear, quadratic and exponential functions numerically, graphically and algebraically, and use them to model situations and solve practical problems.","they,represent,linear,quadratic,exponential,functions,numerically,graphically,algebraically,them,model,situations,solve,practical,problems"
Mathematics,10,Mathematical Reasoning,Students can design and implement simple algorithms using pseudocode or other general purpose programming language.,"students,design,implement,simple,algorithms,using,pseudocode,other,general,purpose,programming,language"
Mathematics,10,Measurement,Students solve measurement problems involving surface area and volume of composite objects.,"students,solve,measurement,problems,involving,surface,area,volume,composite,objects"
Mathematics,10,Number and Computation,They interpret and use logarithmic scales representing small or large quantities or change in applied contexts.,"they,interpret,logarithmic,scales,representing,small,large,quantities,change,applied,contexts"
Mathematics,10,Space and Geometry,Students apply Pythagoras’ theorem and trigonometry to solve practical problems involving right-angled triangles.,"students,apply,pythagoras,theorem,trigonometry,solve,practical,problems,involving,right,angled,triangles"
Mathematics,10,Number and Computation,"They identify the impact of measurement errors on the accuracy of results. Students use mathematical modelling to solve practical problems involving direct and inverse proportion and scaling, evaluating and modifying models, and reporting assumptions, methods and findings.","students,mathematical,modelling,solve,practical,problems,involving,direct,inverse,proportion,scaling,evaluating,modifying,models,reporting"
Mathematics,10,Problem Solving,"Students use deductive reasoning, theorems and algorithms to solve spatial problems.","students,deductive,reasoning,theorems,algorithms,solve,spatial,problems"
Mathematics,10,Statistics and Probability,They interpret networks used to represent practical situations and describe connectedness.,"they,interpret,networks,used,represent,practical,situations,describe,connectedness"
Mathematics,10,Space and Geometry,Students compare univariate data sets by referring to summary statistics and the shape of their displays.,"students,compare,univariate,data,sets,referring,summary,statistics,shape,their,displays"
Mathematics,10,Algebra and Patterns,"They plan and conduct statistical investigations involving bivariate data, including where the independent variable is time.","they,plan,conduct,statistical,investigations,involving,bivariate,data,including,where,independent,variable,time"
Mathematics,10,Algebra and Patterns,"They represent the distribution of data involving 2 variables, using tables and scatterplots, and comment on possible association.","they,represent,distribution,data,involving,variables,using,tables,scatterplots,comment,possible,association"
Mathematics,10,Space and Geometry,"They analyse inferences and conclusions in the media, noting potential sources of bias. Students compare the distribution of continuous numerical data, using various displays, and discuss distributions in terms of centre, spread, shape and outliers.","students,compare,distribution,continuous,numerical,data,using,various,displays,discuss,distributions,terms,centre,spread,shape"
Mathematics,10,Statistics and Probability,Students apply conditional probability to solve problems involving compound events.,"students,apply,conditional,probability,solve,problems,involving,compound,events"
Mathematics,10,Number and Computation,"They design and conduct simulations involving conditional probability, using digital tools.","they,design,conduct,simulations,involving,conditional,probability,using,digital,tools"
